CCode,DATETIME_START_OUTPUTROW,DATETIME_END_OUTPUTROW,StateAbb,StateName,year,irst,milex,milper,pec,tpop,upop,cinc
517,1989-Jan-01 00:00:00,1990-Jan-01 00:00:00,RWA,Rwanda,1989,0,37000,6,2026,43515,4652,0.683
56,1992-Jan-01 00:00:00,1993-Jan-01 00:00:00,SLU,St. Lucia,1992,0,0,0,18,6641,1538,0.68321
367,2000-Jan-01 00:00:00,2001-Jan-01 00:00:00,LAT,Latvia,2000,498,71000,5,4811,5150,154,0.684
616,1977-Jan-01 00:00:00,1978-Jan-01 00:00:00,TUN,Tunisia,1977,156,121678,20,2886,4758,1012,0.684
95,2007-Jan-01 00:00:00,2008-Jan-01 00:00:00,PAN,Panama,2007,0,200000,0,1916,1170,0,0.685
92,1985-Jan-01 00:00:00,1986-Jan-01 00:00:00,SAL,El Salvador,1985,0,252000,48,3255,12443,332,0.685
781,1992-Jan-01 00:00:00,1993-Jan-01 00:00:00,MAD,Maldives,1992,0,0,0,3,44195,32438,0.685051
970,2001-Jan-01 00:00:00,2002-Jan-01 00:00:00,NAU,Nauru,2001,0,0,0,3,26522,749,0.685051
970,2002-Jan-01 00:00:00,2003-Jan-01 00:00:00,NAU,Nauru,2002,0,0,0,3,26658,757,0.685051
516,1976-Jan-01 00:00:00,1977-Jan-01 00:00:00,BUI,Burundi,1976,0,9971,7,276,2633,157,0.6854
565,2007-Jan-01 00:00:00,2008-Jan-01 00:00:00,NAM,Namibia,2007,0,239000,9,996,3957,113,0.6858
439,2003-Jan-01 00:00:00,2004-Jan-01 00:00:00,BFO,Burkina Faso,2003,0,53000,11,2026,5997,755,0.686
42,1989-Jan-01 00:00:00,1990-Jan-01 00:00:00,DOM,Dominican Republic,1989,0,60620,21,4289,163026,47007,0.686
680,1973-Jan-01 00:00:00,1974-Jan-01 00:00:00,YPR,Yemen People's Republic,1973,0,29479,12,4549,6180,525,0.686
531,2006-Jan-01 00:00:00,2007-Jan-01 00:00:00,ERI,Eritrea,2006,0,-9,202,785,224,0,0.6869
481,1972-Jan-01 00:00:00,1973-Jan-01 00:00:00,GAB,Gabon,1972,0,6669,2,2543,4491,729,0.687
42,1993-Jan-01 00:00:00,1994-Jan-01 00:00:00,DOM,Dominican Republic,1993,35,108000,22,4911,174882,49733,0.688
341,2006-Jun-12 00:00:00,2007-Jan-01 00:00:00,MNG,Montenegro,2006,0,53000,-9,1499,4011,0,0.688
95,2006-Jan-01 00:00:00,2007-Jan-01 00:00:00,PAN,Panama,2006,0,171000,0,1950,1150,0,0.688
31,1997-Jan-01 00:00:00,1998-Jan-01 00:00:00,BHM,Bahamas,1997,0,22000,0,173,0,0,0.6887
572,1990-Jan-01 00:00:00,1991-Jan-01 00:00:00,SWA,Swaziland,1990,0,9652,3,693,11088,0,0.6889
110,2004-Jan-01 00:00:00,2005-Jan-01 00:00:00,GUY,Guyana,2004,0,-9,1,697,1910,147,0.689
553,2007-Jan-01 00:00:00,2008-Jan-01 00:00:00,MAW,Malawi,2007,0,42000,5,2249,2051,119,0.689
712,1979-Jan-01 00:00:00,1980-Jan-01 00:00:00,MON,Mongolia,1979,0,142433,36,2454,3765,885,0.689
692,2005-Jan-01 00:00:00,2006-Jan-01 00:00:00,BAH,Bahrain,2005,0,500000,11,31760,4680,1231,0.69
31,1979-Jan-01 00:00:00,1980-Jan-01 00:00:00,BHM,Bahamas,1979,0,2700,0,12244,0,0,0.69
100,1974-Jan-01 00:00:00,1975-Jan-01 00:00:00,COL,Colombia,1974,244,113183,50,27403,1965,171,0.69
40,1974-Jan-01 00:00:00,1975-Jan-01 00:00:00,CUB,Cuba,1974,250,282000,140,14394,0,0,0.69
42,2005-Jan-01 00:00:00,2006-Jan-01 00:00:00,DOM,Dominican Republic,2005,-9,273000,24,6694,205052,55468,0.69
130,1985-Jan-01 00:00:00,1986-Jan-01 00:00:00,ECU,Ecuador,1985,18,245850,43,12079,3246,0,0.69
651,1974-Jan-01 00:00:00,1975-Jan-01 00:00:00,EGY,Egypt,1974,408,3910043,410,15629,6381,219,0.69
310,1997-Jan-01 00:00:00,1998-Jan-01 00:00:00,HUN,Hungary,1997,1690,666000,50,65291,1646,0,0.69
690,1983-Jan-01 00:00:00,1984-Jan-01 00:00:00,KUW,Kuwait,1983,0,1366754,13,47756,27257,7379,0.69
620,1975-Jan-01 00:00:00,1976-Jan-01 00:00:00,LIB,Libya,1975,0,722728,25,19549,1323,0,0.69
920,1981-Jan-01 00:00:00,1982-Jan-01 00:00:00,NEW,New Zealand,1981,0,380945,12,12266,14530,1071,0.69
93,2003-Jan-01 00:00:00,2004-Jan-01 00:00:00,NIC,Nicaragua,2003,0,31000,14,3782,205052,55468,0.69
135,1980-Jan-01 00:00:00,1981-Jan-01 00:00:00,PER,Peru,1980,447,865330,151,18081,1961,0,0.69
380,1980-Jan-01 00:00:00,1981-Jan-01 00:00:00,SWD,Sweden,1980,4231,3799414,70,53465,238316,71395,0.69
225,2006-Jan-01 00:00:00,2007-Jan-01 00:00:00,SWZ,Switzerland,2006,1252,3473000,4,31180,51199,18924,0.69
652,1989-Jan-01 00:00:00,1990-Jan-01 00:00:00,SYR,Syria,1989,0,1510000,400,22841,11050,532,0.69
510,1988-Jan-01 00:00:00,1989-Jan-01 00:00:00,TAZ,Tanzania,1988,0,93000,40,10210,1520,0,0.69
679,1999-Jan-01 00:00:00,2000-Jan-01 00:00:00,YEM,Yemen,1999,0,429000,69,7545,7837,0,0.69
345,1981-Jan-01 00:00:00,1982-Jan-01 00:00:00,YUG,Yugoslavia,1981,3977,2464000,260,64573,49181,11164,0.69
232,2001-Jan-01 00:00:00,2002-Jan-01 00:00:00,AND,Andorra,2001,0,0,0,64,41860,6471,0.69002
946,2005-Jan-01 00:00:00,2006-Jan-01 00:00:00,KIR,Kiribati,2005,0,0,0,2,10646,511,0.690087
331,2002-Jan-01 00:00:00,2003-Jan-01 00:00:00,SNM,San Marino,2002,0,0,0,340,1364,0,0.6903
42,1982-Jan-01 00:00:00,1983-Jan-01 00:00:00,DOM,Dominican Republic,1982,0,128000,25,3667,144126,40857,0.692
223,1993-Jan-01 00:00:00,1994-Jan-01 00:00:00,LIE,Liechtenstein,1993,0,0,0,113,2010,627,0.6927
590,1986-Jan-01 00:00:00,1987-Jan-01 00:00:00,MAS,Mauritius,1986,0,3000,1,772,18125,1881,0.6927
95,1995-Jan-01 00:00:00,1996-Jan-01 00:00:00,PAN,Panama,1995,0,107000,12,2709,960,0,0.693
517,2003-Jan-01 00:00:00,2004-Jan-01 00:00:00,RWA,Rwanda,2003,0,69000,51,2231,3670,634,0.693
31,1990-Jan-01 00:00:00,1991-Jan-01 00:00:00,BHM,Bahamas,1990,0,65700,1,116,0,0,0.6933
402,1996-Jan-01 00:00:00,1997-Jan-01 00:00:00,CAP,Cape Verde,1996,0,4000,1,11,6489,252,0.69389
439,2004-Jan-01 00:00:00,2005-Jan-01 00:00:00,BFO,Burkina Faso,2004,0,74000,10,2622,6021,767,0.694
516,2004-Jan-01 00:00:00,2005-Jan-01 00:00:00,BUI,Burundi,2004,0,45000,50,2664,2160,304,0.694
437,1976-Jan-01 00:00:00,1977-Jan-01 00:00:00,CDI,Ivory Coast,1976,0,43761,8,6922,134,0,0.694
666,1971-Jan-01 00:00:00,1972-Jan-01 00:00:00,ISR,Israel,1971,120,1542571,130,9671,26658,757,0.694
551,1978-Jan-01 00:00:00,1979-Jan-01 00:00:00,ZAM,Zambia,1978,0,76000,14,6969,2324,232,0.694
411,1979-Jan-01 00:00:00,1980-Jan-01 00:00:00,EQG,Equatorial Guinea,1979,0,-9,2,130,206775,47102,0.6949
94,1981-Jan-01 00:00:00,1982-Jan-01 00:00:00,COS,Costa Rica,1981,0,21304,6,2136,1260,114,0.695
541,1984-Jan-01 00:00:00,1985-Jan-01 00:00:00,MZM,Mozambique,1984,0,231086,34,8942,905,0,0.695
150,1975-Jan-01 00:00:00,1976-Jan-01 00:00:00,PAR,Paraguay,1975,0,26317,15,1396,1888,0,0.695
590,1970-Jan-01 00:00:00,1971-Jan-01 00:00:00,MAS,Mauritius,1970,0,68,0,564,341,0,0.6951
471,1983-Jan-01 00:00:00,1984-Jan-01 00:00:00,CAO,Cameroon,1983,0,142054,15,6185,2250,335,0.696
694,1977-Jan-01 00:00:00,1978-Jan-01 00:00:00,QAT,Qatar,1977,0,765000,5,6754,9565,415,0.696
482,1976-Jan-01 00:00:00,1977-Jan-01 00:00:00,CEN,Central African Republic,1976,0,8013,4,719,3627,0,0.6966
80,1983-Jan-01 00:00:00,1984-Jan-01 00:00:00,BLZ,Belize,1983,0,3000,1,144,180671,50966,0.6967
371,2001-Jan-01 00:00:00,2002-Jan-01 00:00:00,ARM,Armenia,2001,0,637000,42,2915,4738,233,0.697
371,2007-Jan-01 00:00:00,2008-Jan-01 00:00:00,ARM,Armenia,2007,0,296000,44,3969,4953,240,0.697
420,1994-Jan-01 00:00:00,1995-Jan-01 00:00:00,GAM,Gambia,1994,0,14000,1,161,2738,254,0.697
950,1995-Jan-01 00:00:00,1996-Jan-01 00:00:00,FIJ,Fiji,1995,0,48000,4,544,1978,1978,0.6971
760,1989-Jan-01 00:00:00,1990-Jan-01 00:00:00,BHU,Bhutan,1989,0,-9,4,524,694,0,0.6975
